ID	log2fold	p	p.adj
ENSMUSG00000037824	-0.6242290868	1.90148949908033E-005	0.000265534
ENSMUSG00000025017	-1.8473111933	1.91138884437709E-005	0.0002667378
ENSMUSG00000086665	5.764968447	1.92957322162909E-005	0.0002690955
ENSMUSG00000030587	1.6781472436	1.9408698080642E-005	0.0002704901
ENSMUSG00000037962	6.5286861548	1.95633591151788E-005	0.0002722818
ENSMUSG00000030117	7.023934428	1.95553400983793E-005	0.0002722818
ENSMUSG00000001768	-2.104344163	1.97114398407827E-005	0.0002741598
ENSMUSG00000074591	8.5166678875	1.97548684672705E-005	0.0002745808
ENSMUSG00000023186	-1.2284669633	1.97924761472447E-005	0.0002749204
ENSMUSG00000028636	1.5788438611	1.984340582983E-005	0.0002754444
ENSMUSG00000004530	-1.1617202357	1.99273143431305E-005	0.0002764252
ENSMUSG00000032965	0.9805630094	2.00980594702553E-005	0.0002786085
ENSMUSG00000049092	2.244296537	2.02469127676798E-005	0.0002804856
ENSMUSG00000097156	6.4750904347	0.00002042	0.0002826963
ENSMUSG00000024507	-1.7414786212	2.05662942955262E-005	0.0002845322
ENSMUSG00000007872	2.0142216104	0.000020684	0.0002859709
ENSMUSG00000110716	2.9485385223	2.07391331014726E-005	0.0002865434
ENSMUSG00000066894	1.8565953442	2.10517857337746E-005	0.0002906707
ENSMUSG00000034867	-1.5364483409	2.10728733441123E-005	0.0002907694
ENSMUSG00000038608	-1.2236428585	2.11884102571856E-005	0.0002921704
ENSMUSG00000029263	-2.2809718154	2.13654376192275E-005	0.0002944169
ENSMUSG00000031691	-0.865003325	2.1445418850291E-005	0.0002951381
ENSMUSG00000030134	2.9391575896	2.14460718389445E-005	0.0002951381
ENSMUSG00000026700	3.072972192	0.000021702	0.000298464
ENSMUSG00000054426	2.0235448205	2.18856057974499E-005	0.0003007901
ENSMUSG00000042073	-1.9894083364	0.000022048	0.000302823
ENSMUSG00000115104	-7.3312475109	2.2079551138303E-005	0.0003030564
ENSMUSG00000004207	-1.1201577739	2.21484040191574E-005	0.0003036019
ENSMUSG00000034152	-0.8920354082	2.21477872318845E-005	0.0003036019
ENSMUSG00000048215	3.9817861754	2.26747265134352E-005	0.0003106125
ENSMUSG00000085761	4.0696502166	2.27177893298528E-005	0.0003109982
ENSMUSG00000022696	3.0121503893	2.28128495679866E-005	0.0003120947
ENSMUSG00000027999	1.6164519623	2.28827498579295E-005	0.0003128459
ENSMUSG00000034708	-1.2801143394	2.29050993275303E-005	0.0003129464
ENSMUSG00000001739	-6.1215800136	2.2983336316117E-005	0.0003138098
ENSMUSG00000034853	-1.8884064053	2.32593480458542E-005	0.0003173707
ENSMUSG00000032254	-2.0505794085	2.32795706427417E-005	0.000317439
ENSMUSG00000047557	1.1140622791	2.33397407803728E-005	0.0003180516
ENSMUSG00000000127	3.5662289081	2.33873138275999E-005	0.0003184919
ENSMUSG00000050666	-5.2790500448	2.34071268233591E-005	0.0003185537
ENSMUSG00000025402	1.7362815726	2.35803053675891E-005	0.0003204925
ENSMUSG00000048251	2.531329648	2.35796659564474E-005	0.0003204925
ENSMUSG00000048218	2.9396991023	2.36588469905305E-005	0.0003213506
ENSMUSG00000054422	4.1457545172	2.368990732449E-005	0.0003215631
ENSMUSG00000020441	1.0771490014	2.38812376711409E-005	0.0003237771
ENSMUSG00000026519	1.4915468657	0.000023884	0.0003237771
ENSMUSG00000071226	4.5583350919	2.42096420521677E-005	0.0003279778
ENSMUSG00000043411	-0.8091427975	2.44454455146512E-005	0.0003309574
ENSMUSG00000027598	-2.2851501851	2.45776317090573E-005	0.0003325312
ENSMUSG00000022148	0.9395531741	2.46803850843546E-005	0.000333705
ENSMUSG00000034164	2.9963798923	0.000024792	0.0003349974
ENSMUSG00000009090	-1.3420255269	2.5066350656402E-005	0.000338485
ENSMUSG00000085912	6.1475915042	2.52838248629811E-005	0.0003412008
ENSMUSG00000089727	8.7624312593	2.53517866431779E-005	0.0003418968
ENSMUSG00000082062	2.0810703687	2.54428976980857E-005	0.0003429039
ENSMUSG00000046841	2.1653915583	2.55676120314688E-005	0.0003443622
ENSMUSG00000010047	1.4119196775	2.56017968392359E-005	0.0003446002
ENSMUSG00000031367	-1.4760915811	2.57473660132401E-005	0.0003463361
ENSMUSG00000027955	-2.9404044593	2.59587151868774E-005	0.000348954
ENSMUSG00000049093	6.1110296405	2.65590960757386E-005	0.0003567949
ENSMUSG00000080783	2.8918411123	2.66393881274876E-005	0.0003576432
ENSMUSG00000035356	-2.0505600098	2.67215353836405E-005	0.0003585154
ENSMUSG00000059586	0.8991077289	2.69674465067779E-005	0.0003615822
ENSMUSG00000075602	1.8202046512	2.70748990274935E-005	0.0003627897
ENSMUSG00000022401	-1.3037625984	2.78384231285542E-005	0.0003727811
ENSMUSG00000020650	-0.9126199871	2.79064638355744E-005	0.0003734526
ENSMUSG00000001300	3.9020884989	2.82274601489209E-005	0.0003775061
ENSMUSG00000025040	-0.7476740139	2.83313275774585E-005	0.0003786525
ENSMUSG00000030218	-2.8228385289	2.87762365401409E-005	0.0003842564
ENSMUSG00000028068	-2.469948717	2.87874615609684E-005	0.0003842564
ENSMUSG00000032383	1.1678945033	2.89283323243433E-005	0.0003858899
ENSMUSG00000099930	2.2085583023	2.93262256413532E-005	0.0003909476
ENSMUSG00000090399	2.1549193448	2.95784682977257E-005	0.0003940585
ENSMUSG00000035765	-1.0941957167	2.96632983451831E-005	0.0003949364
ENSMUSG00000107761	-2.6440144132	2.97435206824207E-005	0.0003957209
ENSMUSG00000084911	-3.8778083466	2.97601523188655E-005	0.0003957209
ENSMUSG00000022018	2.2413505818	2.99792994219917E-005	0.000398381
ENSMUSG00000024270	-1.3547805128	3.01407769076082E-005	0.0004002718
ENSMUSG00000030268	2.9976073624	3.03267539583311E-005	0.0004022639
ENSMUSG00000048528	8.697045852	3.03293477609151E-005	0.0004022639
ENSMUSG00000074443	-9.4961693505	3.04106350836352E-005	0.0004030858
ENSMUSG00000043572	1.3681502654	3.06085397141167E-005	0.0004054514
ENSMUSG00000025969	2.9256492833	3.0716382323452E-005	0.0004066218
ENSMUSG00000016344	1.3823570014	3.13009237510514E-005	0.0004140971
ENSMUSG00000053044	2.920408406	3.14256586196056E-005	0.0004154839
ENSMUSG00000022240	-3.2476414048	3.15793744223366E-005	0.0004172517
ENSMUSG00000036850	1.2462417558	3.18606649522375E-005	0.0004207019
ENSMUSG00000059326	-1.2929190201	3.19671524211637E-005	0.0004218411
ENSMUSG00000027386	-7.3243967296	3.20998373012143E-005	0.0004233242
ENSMUSG00000060121	-0.8229308805	3.23222249190362E-005	0.0004259877
ENSMUSG00000031812	0.8019633625	3.23700643843387E-005	0.0004263489
ENSMUSG00000041567	8.8557638037	3.25142722164432E-005	0.0004279781
ENSMUSG00000058709	0.8095223829	3.26891657088051E-005	0.0004298211
ENSMUSG00000026656	1.730513111	3.26954950976462E-005	0.0004298211
ENSMUSG00000032396	-1.1188127163	3.28893545060147E-005	0.0004320974
ENSMUSG00000087259	2.3810759655	3.29115944710974E-005	0.0004321174
ENSMUSG00000030555	-2.8053700551	0.000033362	0.0004377556
ENSMUSG00000073902	-2.4288475559	3.36425962699735E-005	0.00044116
ENSMUSG00000024665	-2.2633624572	3.37926560976664E-005	0.0004428494
ENSMUSG00000007867	1.9945212129	3.39277230646166E-005	0.0004443403
ENSMUSG00000038146	2.8356249347	0.000034037	0.0004454921
ENSMUSG00000017670	-1.3948840787	3.43355747472143E-005	0.0004491179
ENSMUSG00000109149	6.133646614	3.45081279300663E-005	0.0004510922
ENSMUSG00000103216	4.0008736837	3.46374625798298E-005	0.0004524993
ENSMUSG00000023830	2.4044082987	3.47592255040944E-005	0.0004538058
ENSMUSG00000033227	7.661567186	3.51417967173962E-005	0.0004585136
ENSMUSG00000025497	-7.7734298896	3.51751348554909E-005	0.0004586618
ENSMUSG00000040711	-1.5864675951	3.52861098951093E-005	0.0004598214
ENSMUSG00000056938	1.3334382279	3.54104314105805E-005	0.0004611535
ENSMUSG00000064254	1.607263137	3.55028486510449E-005	0.0004620686
ENSMUSG00000024078	-1.34691452	3.57977535840645E-005	0.0004656163
ENSMUSG00000032534	0.847010457	3.59848519239456E-005	0.0004677582
ENSMUSG00000004933	1.3838217784	3.6020056182351E-005	0.0004679243
ENSMUSG00000089726	2.740047477	3.61608731151312E-005	0.0004694613
ENSMUSG00000052698	2.9193418174	3.639892720289E-005	0.000472258
ENSMUSG00000035561	-1.9712688286	0.000036535	0.0004737292
ENSMUSG00000024304	2.7371672631	3.66896583215454E-005	0.0004754387
ENSMUSG00000041420	2.5296141082	3.68158282671507E-005	0.0004767775
ENSMUSG00000001467	-1.1547288577	0.000036985	0.0004786711
ENSMUSG00000043782	3.8089479876	3.71091795702092E-005	0.0004799807
ENSMUSG00000041859	-1.141037428	3.71382356368526E-005	0.0004800589
ENSMUSG00000030968	-5.1998462965	3.71956211469556E-005	0.0004805029
ENSMUSG00000032370	1.024850572	0.000037292	0.0004814501
ENSMUSG00000042682	1.0562398049	3.75507457414234E-005	0.0004843326
ENSMUSG00000086862	3.2846224144	3.75617226282645E-005	0.0004843326
ENSMUSG00000020427	-2.9613135723	3.78196516787305E-005	0.0004873573
ENSMUSG00000108912	6.4985923166	3.78813885151249E-005	0.0004878515
ENSMUSG00000011832	-0.8568221649	3.81043999032349E-005	0.0004904208
ENSMUSG00000040533	6.6718654627	0.000038205	0.0004914126
ENSMUSG00000040963	-3.0785023718	3.82662032980531E-005	0.0004918964
ENSMUSG00000022304	4.4601150597	3.85519418721562E-005	0.0004946551
ENSMUSG00000036948	-1.5800109591	0.000038539	0.0004946551
ENSMUSG00000085282	3.0199618592	3.85221794129566E-005	0.0004946551
ENSMUSG00000038759	-1.588993429	3.85982398584632E-005	0.0004949447
ENSMUSG00000031303	-1.9571445769	0.000038645	0.0004952403
ENSMUSG00000105870	3.4510665833	3.89475521066834E-005	0.0004988108
ENSMUSG00000019297	-0.7861272019	0.000039027	0.0004995214
ENSMUSG00000002845	1.209291279	3.91913125986613E-005	0.0005013172
ENSMUSG00000062991	3.2364844148	3.9239844424689E-005	0.0005016304
ENSMUSG00000044345	1.7931414776	3.98006671628968E-005	0.0005084883
ENSMUSG00000019797	1.2593896118	3.98465282417468E-005	0.0005087626
ENSMUSG00000034066	-2.1352213506	4.02330810347939E-005	0.000513384
ENSMUSG00000081552	1.795393243	4.04311727199793E-005	0.0005155963
ENSMUSG00000053030	7.9393514853	4.04584482296398E-005	0.000515629
ENSMUSG00000018442	0.9952718497	4.06493849952756E-005	0.0005177461
ENSMUSG00000039529	-4.5690372077	0.000041296	0.0005256613
ENSMUSG00000102785	5.770054176	4.13945610749846E-005	0.0005265943
ENSMUSG00000028278	2.2770641255	0.000041722	0.0005304358
ENSMUSG00000039016	1.4776794269	4.1808708156466E-005	0.0005309314
ENSMUSG00000109005	-2.9911611012	4.18118323843168E-005	0.0005309314
ENSMUSG00000005054	1.7838549982	0.000042076	0.000533961
ENSMUSG00000027200	2.5956183435	4.22747829781763E-005	0.0005361573
ENSMUSG00000095429	-3.9318978713	4.26431192222417E-005	0.0005405002
ENSMUSG00000029346	1.2858534316	4.27573174018134E-005	0.0005416186
ENSMUSG00000021916	0.8868299431	4.28092442753281E-005	0.0005419474
ENSMUSG00000000552	-1.5950327546	4.29813995930372E-005	0.0005437968
ENSMUSG00000031004	-1.2733187555	4.31782680786102E-005	0.0005459565
ENSMUSG00000041890	-1.0974434087	4.32644669854695E-005	0.0005467151
ENSMUSG00000079105	-7.6082322637	4.3356098185534E-005	0.0005475413
ENSMUSG00000032526	1.394665619	4.3448292923062E-005	0.0005483737
ENSMUSG00000114536	2.9743084322	4.36046873294469E-005	0.0005500149
ENSMUSG00000038299	-1.2834779486	4.39884932646593E-005	0.000554186
ENSMUSG00000005413	1.5019404168	4.39624446161165E-005	0.000554186
ENSMUSG00000063229	-0.8720763975	4.40531222731457E-005	0.0005546652
ENSMUSG00000024897	-1.7720858475	4.4319907890623E-005	0.0005576877
ENSMUSG00000115902	2.1660769456	4.43937374790381E-005	0.00055828
ENSMUSG00000087249	5.2235314838	4.44782400777143E-005	0.0005590057
ENSMUSG00000039782	-1.841178995	4.45280738859169E-005	0.0005592951
ENSMUSG00000024678	-4.156966235	4.49714255438643E-005	0.000564524
ENSMUSG00000044258	3.3610596728	4.51387877158638E-005	0.0005658087
ENSMUSG00000087626	4.5089629488	0.000045126	0.0005658087
ENSMUSG00000040354	-0.9726304104	4.51551328021011E-005	0.0005658087
ENSMUSG00000018765	-0.874530105	4.52800776774385E-005	0.0005670338
ENSMUSG00000053560	-1.107109551	4.56543612014732E-005	0.0005713779
ENSMUSG00000097838	2.9678442437	4.6012906499E-005	0.0005755199
ENSMUSG00000027834	1.9795287658	4.6704175337353E-005	0.0005838162
ENSMUSG00000017390	-3.0780410755	4.69635370014163E-005	0.0005867067
ENSMUSG00000067925	-1.9538121029	4.70682495179795E-005	0.000587663
ENSMUSG00000019813	-1.5700469533	4.7421495572615E-005	0.0005917193
ENSMUSG00000047751	1.8180916933	4.75025400240738E-005	0.0005923763
ENSMUSG00000116927	-2.1982021414	4.7680573348958E-005	0.0005942412
ENSMUSG00000018923	1.2275375267	4.77721239895937E-005	0.0005950268
ENSMUSG00000032528	3.4265991205	4.78195108905073E-005	0.0005952616
ENSMUSG00000003283	-0.6993551058	4.78538694840523E-005	0.0005953341
ENSMUSG00000103693	2.3623933349	4.79731896125827E-005	0.0005961076
ENSMUSG00000026197	0.9759207784	4.79713419545938E-005	0.0005961076
ENSMUSG00000071855	1.3102459974	4.83165268070335E-005	0.0005996595
ENSMUSG00000087452	6.4436056564	4.83008612063202E-005	0.0005996595
ENSMUSG00000004655	-3.8133222158	0.000048435	0.0006007719
ENSMUSG00000014418	-1.4447433373	4.85141951624682E-005	0.0006013973
ENSMUSG00000099696	4.8362302413	4.8554191440292E-005	0.0006015357
ENSMUSG00000030792	2.7452786975	4.86145298596052E-005	0.0006019258
ENSMUSG00000021242	2.274630851	4.8835565579503E-005	0.0006043039
ENSMUSG00000062234	-1.2010449149	4.90838722552838E-005	0.0006070165
ENSMUSG00000022971	0.7307121811	0.00004919	0.0006076082
ENSMUSG00000108551	2.9849252739	0.000049162	0.0006076082
ENSMUSG00000039844	-0.872825025	4.93106361334328E-005	0.0006087383
ENSMUSG00000032044	-1.0444386047	4.9574245037418E-005	0.0006116307
ENSMUSG00000107750	1.6587044597	4.99277750920532E-005	0.000615449
ENSMUSG00000054312	1.3054297374	4.99427260959693E-005	0.000615449
ENSMUSG00000043257	-1.0837120116	5.02694636445887E-005	0.0006191097
ENSMUSG00000025007	-1.1771736893	5.05356466557385E-005	0.0006220208
ENSMUSG00000035024	-1.9436699717	5.09041695720549E-005	0.0006258183
ENSMUSG00000020401	7.2560375516	5.08937151831356E-005	0.0006258183
ENSMUSG00000037606	2.4471220882	5.11089003972424E-005	0.0006278038
ENSMUSG00000107622	-4.6844405745	5.1125848695866E-005	0.0006278038
ENSMUSG00000038390	2.8514548119	5.12083775465609E-005	0.0006284473
ENSMUSG00000045730	1.2951103045	5.13482287524905E-005	0.0006297931
ENSMUSG00000032484	6.6653927978	5.16441588650628E-005	0.0006330506
ENSMUSG00000079144	-1.0264861957	5.17596988410589E-005	0.0006340943
ENSMUSG00000038393	-1.3862060325	5.18284411009287E-005	0.0006345638
ENSMUSG00000024948	-1.1313959329	5.18960653042978E-005	0.0006350191
ENSMUSG00000029086	-5.7273752032	5.19673735095036E-005	0.0006355189
ENSMUSG00000005034	-1.5071977169	5.21383325668778E-005	0.0006372361
ENSMUSG00000039286	-1.2223685024	5.22691534441137E-005	0.000638461
ENSMUSG00000005611	-4.4501213076	5.28303612917797E-005	0.0006449385
ENSMUSG00000021400	-0.8491168823	5.31213162358849E-005	0.0006481111
ENSMUSG00000078851	1.4548133539	5.33772912988482E-005	0.0006508536
ENSMUSG00000103041	-1.6115970209	0.000053749	0.0006550026
ENSMUSG00000025165	-7.2798490656	5.40256421210954E-005	0.0006579901
ENSMUSG00000051335	-1.2711071395	5.43636913140309E-005	0.0006614733
ENSMUSG00000097290	1.445186471	5.43848090153936E-005	0.0006614733
ENSMUSG00000067365	0.9561587816	5.4406755727628E-005	0.0006614733
ENSMUSG00000017288	-0.6094188814	5.46832461953691E-005	0.0006644476
ENSMUSG00000074676	5.5708949673	5.47796467698161E-005	0.0006652315
ENSMUSG00000042055	-1.4611774208	5.50943764811006E-005	0.0006683488
ENSMUSG00000031996	1.3377360667	5.51004157830234E-005	0.0006683488
ENSMUSG00000052459	-0.7554470047	5.54287934046972E-005	0.0006719413
ENSMUSG00000033735	1.2610764078	5.57155726849369E-005	0.0006746338
ENSMUSG00000079427	1.2450101103	5.5693778302097E-005	0.0006746338
ENSMUSG00000039691	7.2179954272	5.57867879901938E-005	0.0006751043
ENSMUSG00000015337	1.9616538907	5.62084735754742E-005	0.000679813
ENSMUSG00000026339	-1.0766336991	0.000056507	0.0006830269
ENSMUSG00000039155	5.1237476334	5.66172303433427E-005	0.0006839637
ENSMUSG00000001052	-1.0932618187	5.68042706797771E-005	0.0006858261
ENSMUSG00000038279	-0.9900297788	5.68546665887938E-005	0.0006860375
ENSMUSG00000029759	1.8490470357	5.69497158939189E-005	0.0006867872
ENSMUSG00000035373	3.3886512724	5.7564777031885E-005	0.0006938035
ENSMUSG00000103032	6.5250141577	5.76406916568833E-005	0.0006939168
ENSMUSG00000089862	0.7149132129	5.76314191377161E-005	0.0006939168
ENSMUSG00000039470	2.2142197768	5.7713819708833E-005	0.0006943964
ENSMUSG00000040413	4.809629391	5.77817263867688E-005	0.0006948128
ENSMUSG00000095788	3.495862464	5.78832087065521E-005	0.0006956321
ENSMUSG00000003154	-1.477689634	5.82646819155084E-005	0.0006998135
ENSMUSG00000021803	5.1966914634	5.88026598045763E-005	0.0007058688
ENSMUSG00000036622	1.4834310375	5.93377726798214E-005	0.0007118827
ENSMUSG00000078942	-2.1377371089	5.93772384227478E-005	0.0007119467
ENSMUSG00000027865	-0.7388348544	5.95651242771991E-005	0.0007137893
ENSMUSG00000097668	-7.8383793696	5.98582735881437E-005	0.0007168904
ENSMUSG00000026149	-7.7787143263	5.99248490429443E-005	0.000717276
ENSMUSG00000028776	-4.636626101	5.99642422330306E-005	0.000717336
ENSMUSG00000104413	4.075232439	0.000060278	0.000720676
ENSMUSG00000041886	3.3154148597	6.04282591405612E-005	0.0007220589
ENSMUSG00000081886	3.9461083287	6.06399162191683E-005	0.0007241732
ENSMUSG00000000555	-1.4804015643	6.06881201217328E-005	0.0007243342
ENSMUSG00000114053	6.6844683661	6.07285763537368E-005	0.0007244027
ENSMUSG00000027490	-0.8737770113	6.07742456526346E-005	0.0007244108
ENSMUSG00000023886	-3.1610975654	6.07986976570173E-005	0.0007244108
ENSMUSG00000057335	-1.5207620291	6.08994618714689E-005	0.0007251972
ENSMUSG00000002458	-0.5861544339	6.09392975508264E-005	0.0007252176
ENSMUSG00000029735	-1.02683786	6.09706949275723E-005	0.0007252176
ENSMUSG00000026418	4.4637272323	0.000061236	0.0007279586
ENSMUSG00000032633	0.9626985679	6.14354381663463E-005	0.0007299132
ENSMUSG00000018848	-0.8978721514	6.16345019206466E-005	0.0007318615
ENSMUSG00000055446	-3.2566385377	6.21012924437663E-005	0.0007369848
ENSMUSG00000044465	2.1877224652	6.25658722949945E-005	0.000741686
ENSMUSG00000032803	-0.853100255	6.25685333810336E-005	0.000741686
ENSMUSG00000085939	3.1657045404	6.26616678212277E-005	0.0007419469
ENSMUSG00000037119	-1.7692314284	0.000062637	0.0007419469
ENSMUSG00000063019	1.1547461371	6.27944566716819E-005	0.0007430974
ENSMUSG00000041347	6.7013365015	6.33783327760608E-005	0.0007495817
ENSMUSG00000048897	-1.178248155	6.35338834235751E-005	0.000750087
ENSMUSG00000027478	-1.9337413818	6.35072601572615E-005	0.000750087
ENSMUSG00000041977	-1.6905794481	6.356447849982E-005	0.000750087
ENSMUSG00000029147	-0.8478670083	6.35648631071545E-005	0.000750087
ENSMUSG00000052062	2.5736294932	6.40145264942593E-005	0.0007549661
ENSMUSG00000022957	1.6337974284	6.41296823877091E-005	0.0007558969
ENSMUSG00000024043	1.8342678239	0.000064436	0.0007590789
ENSMUSG00000067203	1.1189217849	6.50432599670971E-005	0.0007658
ENSMUSG00000084408	-3.9974594138	6.50852549837564E-005	0.0007658622
ENSMUSG00000097766	4.5883022168	6.53304698403875E-005	0.0007683143
ENSMUSG00000102380	-3.0891063148	6.55455111476817E-005	0.000770409
ENSMUSG00000025034	0.8871807764	0.000065845	0.0007734938
ENSMUSG00000020955	0.9808514105	6.61614426641145E-005	0.0007765644
ENSMUSG00000015341	-0.580972205	6.62180939689563E-005	0.0007765644
ENSMUSG00000028811	-0.7313148197	6.61833537571118E-005	0.0007765644
ENSMUSG00000097643	-6.9924979841	6.62863184368761E-005	0.0007766691
ENSMUSG00000035455	-1.5779930572	6.63014764636766E-005	0.0007766691
ENSMUSG00000104546	-4.0001886913	6.63707549595869E-005	0.0007770444
ENSMUSG00000048027	1.1262705951	6.67792670651527E-005	0.0007813886
ENSMUSG00000035799	3.024810103	6.70506370896553E-005	0.0007841241
ENSMUSG00000068220	2.1955257686	6.74276445253468E-005	0.0007880913
ENSMUSG00000056071	5.1203421597	6.74931870981461E-005	0.0007884157
ENSMUSG00000024498	-1.0306218881	6.76368181100568E-005	0.0007896513
ENSMUSG00000046027	1.4933978964	6.77500524907292E-005	0.000790531
ENSMUSG00000035105	3.8350665638	6.80283453841035E-005	0.0007933345
ENSMUSG00000031709	-1.9355816261	6.81784773576455E-005	0.0007946411
ENSMUSG00000057219	-1.0776795794	6.82794641675497E-005	0.0007953738
ENSMUSG00000061718	-4.9480151247	6.84686762789649E-005	0.0007971328
ENSMUSG00000060152	1.3746803838	6.85505072635453E-005	0.0007971958
ENSMUSG00000021211	-5.8915624824	6.85404632234493E-005	0.0007971958
ENSMUSG00000114501	-2.5451084111	6.93913449631699E-005	0.0008065246
ENSMUSG00000097791	3.8030143389	6.94802414694264E-005	0.0008071082
ENSMUSG00000016308	0.8493022233	6.95475318765852E-005	0.0008074403
ENSMUSG00000022378	-0.7788835117	6.97202783372164E-005	0.0008089956
ENSMUSG00000024493	-1.2680938371	6.9917893151811E-005	0.0008108377
ENSMUSG00000026932	1.7949873998	7.01883969222514E-005	0.0008135225
ENSMUSG00000028980	-1.6415767727	7.06308901593635E-005	0.0008181967
ENSMUSG00000054434	1.0226231616	7.0690910069117E-005	0.0008184375
ENSMUSG00000054263	-2.2614173277	7.15103190733981E-005	0.0008274652
ENSMUSG00000030269	-0.8827471045	7.18128187280983E-005	0.0008305049
ENSMUSG00000095298	6.9023739985	7.18807763871392E-005	0.0008308303
ENSMUSG00000041538	-0.7014678444	7.23116407180178E-005	0.0008353476
ENSMUSG00000004633	-0.8594232431	7.27376681285805E-005	0.0008398041
ENSMUSG00000044092	-2.8729896927	7.29357789703536E-005	0.0008416256
ENSMUSG00000025287	0.828832839	0.00007302	0.000841678
ENSMUSG00000087260	1.0959563058	0.000073021	0.000841678
ENSMUSG00000048878	1.8975599077	7.32792474312952E-005	0.0008441883
ENSMUSG00000022257	2.0041692012	7.35391484123547E-005	0.0008466019
ENSMUSG00000028460	3.0366506815	7.35699242841363E-005	0.0008466019
ENSMUSG00000029821	-1.963307751	7.36424357891785E-005	0.0008469692
ENSMUSG00000022102	1.5743990341	7.42060602465255E-005	0.0008529813
ENSMUSG00000049536	2.407386406	7.42499031833475E-005	0.0008530153
ENSMUSG00000034917	-1.2139029512	0.000074372	0.0008539482
ENSMUSG00000070493	1.48249984	7.46518383343194E-005	0.0008566894
ENSMUSG00000050189	-2.9773816088	7.49583662333533E-005	0.0008597341
ENSMUSG00000031776	-0.5220212618	7.50571680277577E-005	0.0008603943
ENSMUSG00000070661	3.2788564537	7.52427741458883E-005	0.0008620483
ENSMUSG00000048039	-0.8730834191	7.53331853798145E-005	0.0008626105
ENSMUSG00000068394	-1.7058420892	0.000075522	0.0008642986
ENSMUSG00000069793	-2.069068171	0.000075802	0.0008670273
ENSMUSG00000022540	1.1384579736	7.59748479505843E-005	0.0008685278
ENSMUSG00000020467	-2.955545081	7.63132258204226E-005	0.0008719183
ENSMUSG00000048163	1.4235129738	7.69884188207062E-005	0.0008786703
ENSMUSG00000031513	-0.8610234544	7.69532641447497E-005	0.0008786703
ENSMUSG00000025816	1.2218884785	7.7141822294302E-005	0.0008794589
ENSMUSG00000033107	1.956620125	7.71208825148984E-005	0.0008794589
ENSMUSG00000079299	3.8269595536	7.7336418979108E-005	0.0008811959
ENSMUSG00000040249	1.9358613628	7.7714573166314E-005	0.0008848514
ENSMUSG00000031112	2.5969891963	7.7742063011363E-005	0.0008848514
ENSMUSG00000102278	-4.8471861164	7.86518067448988E-005	0.0008947179
ENSMUSG00000001440	-0.775581714	7.86994527173717E-005	0.000894772
ENSMUSG00000028825	6.8894561905	7.87512696829062E-005	0.0008948735
ENSMUSG00000114540	1.1837335366	7.93498702968368E-005	0.0009011847
ENSMUSG00000018796	-1.5309389224	7.94083201255738E-005	0.0009013579
ENSMUSG00000022651	5.626793144	7.95491127617838E-005	0.0009023589
ENSMUSG00000041000	1.2566706772	0.000079583	0.0009023589
ENSMUSG00000060044	3.8905956414	7.96317697020782E-005	0.0009024213
ENSMUSG00000026358	-2.3770637766	7.9799506836836E-005	0.0009038312
ENSMUSG00000110495	-5.7464683206	8.00401031027696E-005	0.0009060644
ENSMUSG00000026020	-1.1323712027	8.01384025813158E-005	0.0009066852
ENSMUSG00000102172	3.8155347586	0.000080931	0.000915156
ENSMUSG00000045438	1.3532174163	8.13838949004439E-005	0.0009197791
ENSMUSG00000015002	-1.1705144646	8.19651369555929E-005	0.0009258466
ENSMUSG00000040016	-3.0446133169	8.21126903582732E-005	0.0009270114
ENSMUSG00000039959	-1.5552459982	0.000083118	0.0009378529
ENSMUSG00000027423	-0.5078318767	8.34382331790101E-005	0.0009409578
ENSMUSG00000097139	-3.7658638827	8.43906356539227E-005	0.0009511841
ENSMUSG00000024414	1.348594565	8.46332406703648E-005	0.0009534035
ENSMUSG00000034820	0.6800919498	8.54715088964002E-005	0.000961808
ENSMUSG00000002881	-1.092519104	8.54261779480587E-005	0.000961808
ENSMUSG00000003746	1.1953845199	0.000085623	0.0009629932
ENSMUSG00000060950	-1.3429150203	8.57175312885172E-005	0.0009635371
ENSMUSG00000027249	7.3969145806	8.58762235121337E-005	0.0009648011
ENSMUSG00000035310	-1.7608713779	8.61844497671823E-005	0.0009676487
ENSMUSG00000028655	-2.3186650695	8.62224505912554E-005	0.0009676487
ENSMUSG00000022354	1.3334639107	0.000086379	0.0009688841
ENSMUSG00000021552	1.9952616201	8.68294265973518E-005	0.0009734134
ENSMUSG00000045763	2.1624647141	8.69335672146051E-005	0.0009740575
ENSMUSG00000040822	0.9497917176	8.71234819359496E-005	0.0009756614
ENSMUSG00000047731	-0.9371486164	8.73481211965855E-005	0.0009776523
ENSMUSG00000056054	5.2614854739	8.78068364212541E-005	0.0009822595
ENSMUSG00000028433	-1.4715588931	0.000087944	0.0009830355
ENSMUSG00000034973	-1.3307198096	0.000087996	0.0009830355
ENSMUSG00000090173	-1.8845868956	8.80175619605185E-005	0.0009830355
ENSMUSG00000026036	-0.9276258286	8.84953271055871E-005	0.0009873952
ENSMUSG00000025888	-0.7807901075	8.85025649281168E-005	0.0009873952
ENSMUSG00000069893	-2.0129981005	8.8722340065264E-005	0.0009888876
ENSMUSG00000068184	1.1419306903	8.87311309724312E-005	0.0009888876
ENSMUSG00000005824	4.0969815187	8.95998840383837E-005	0.0009980365
ENSMUSG00000022635	1.0773936304	8.97748414798967E-005	0.0009994517
