ID	log2fold	p	p.adj
ENSMUSG00000019872	-1.8833424454	1.02076862457524E-022	2.730294335194E-020
ENSMUSG00000110279	5.4797314619	1.0681344441808E-022	2.82082138087899E-020
ENSMUSG00000068129	4.543288072	1.15249331913354E-022	3.00555851463538E-020
ENSMUSG00000036026	2.1770689255	2.27325020327022E-022	5.80264233285687E-020
ENSMUSG00000008193	4.1904497826	2.28067234479348E-022	5.80264233285687E-020
ENSMUSG00000018919	3.0102213342	3.71633596472298E-022	9.3414358110862E-020
ENSMUSG00000000303	-9.9106745933	4.20084967938921E-022	1.04336103406068E-019
ENSMUSG00000007891	3.1466373029	4.35131466263855E-022	1.06801738596033E-019
ENSMUSG00000026879	-3.0841609071	4.44837984808693E-022	1.07669605306673E-019
ENSMUSG00000023367	5.0171606127	4.4898891155062E-022	1.07669605306673E-019
ENSMUSG00000056724	-1.9332547841	4.96827667731679E-022	1.17787677635068E-019
ENSMUSG00000047281	3.7282997899	5.45927714026088E-022	1.27974043794677E-019
ENSMUSG00000025779	2.8878446102	5.58965341434322E-022	1.29574376870492E-019
ENSMUSG00000020785	-4.5421203338	1.17446630494921E-021	2.6926253318852E-019
ENSMUSG00000006281	-2.3368615762	1.26517389817492E-021	2.86905685191558E-019
ENSMUSG00000039910	2.372358157	1.78825718128383E-021	4.01165694334672E-019
ENSMUSG00000022831	-1.7351842254	1.9028619515919E-021	4.22334137192148E-019
ENSMUSG00000037679	3.528730481	1.94413696221693E-021	4.26952941502439E-019
ENSMUSG00000029428	-2.1692168234	2.46604552207867E-021	5.35928205490909E-019
ENSMUSG00000073802	3.233745222	2.91544482039395E-021	6.27061085442051E-019
ENSMUSG00000048807	3.2856986419	6.46017858550046E-021	1.37529291662547E-018
ENSMUSG00000025854	5.7460265766	8.90692401256843E-021	1.87702177448702E-018
ENSMUSG00000040669	2.6808979352	1.18679659645719E-020	2.47601373918864E-018
ENSMUSG00000028051	4.2429532478	1.35963628448997E-020	2.8085239409222E-018
ENSMUSG00000032068	-6.8599327278	1.41344891250206E-020	2.89105731975789E-018
ENSMUSG00000022793	-1.6841223854	1.907507711761E-020	3.86372168839512E-018
ENSMUSG00000051339	-4.1026384335	2.65501053254065E-020	5.32610430196112E-018
ENSMUSG00000095609	6.3779774364	3.45451974455688E-020	6.8639662314943E-018
ENSMUSG00000019179	-1.7353964638	3.55354081780933E-020	6.9941058567883E-018
ENSMUSG00000011267	2.8497634236	7.36120394086685E-020	1.43529717587201E-017
ENSMUSG00000029359	4.2437245611	7.67088860827267E-020	1.48183100957771E-017
ENSMUSG00000063564	-4.4888377485	1.55766056497788E-019	2.98141948322325E-017
ENSMUSG00000055723	2.127495336	2.78659293328633E-019	5.28515348792297E-017
ENSMUSG00000021115	-1.1847152393	2.890774975119E-019	5.43335480233404E-017
ENSMUSG00000005465	2.7174141199	2.94132944129791E-019	5.4790139405177E-017
ENSMUSG00000054871	5.1950414205	5.85875994870856E-019	1.08169299831776E-016
ENSMUSG00000027463	-4.1811776484	6.09140633368867E-019	1.11478079245392E-016
ENSMUSG00000092275	6.456466603	7.72458133103428E-019	1.40137339399451E-016
ENSMUSG00000049001	5.6115978013	7.80824310042373E-019	1.40433944658742E-016
ENSMUSG00000036764	2.712839209	1.02099729644979E-018	1.82060398254973E-016
ENSMUSG00000044456	-2.1937977304	1.08422074114774E-018	1.9169574002174E-016
ENSMUSG00000051735	-1.5959180033	1.10451386771071E-018	1.9364262875671E-016
ENSMUSG00000040899	4.1324072657	1.29213019912163E-018	2.24647602868955E-016
ENSMUSG00000002083	2.3161576195	1.38340253749787E-018	2.3852832346957E-016
ENSMUSG00000029674	-2.5382055005	1.43986025368835E-018	2.46227905513934E-016
ENSMUSG00000115869	4.5566425079	1.88261717373004E-018	3.19325545492113E-016
ENSMUSG00000000409	3.1917700485	2.49971244968872E-018	4.20576619660127E-016
ENSMUSG00000043789	19.2311090753	2.69056719325646E-018	4.49066426823275E-016
ENSMUSG00000040528	-2.2684956932	2.89943865081469E-018	4.80087210888467E-016
ENSMUSG00000031659	-2.0688304912	3.55002126300361E-018	5.83181839449167E-016
ENSMUSG00000068154	5.3163838466	3.72142515451554E-018	6.06563226552013E-016
ENSMUSG00000034709	-1.896902802	3.97862951650406E-018	6.43458508549024E-016
ENSMUSG00000027078	2.332891102	4.08749540039749E-018	6.55980127219176E-016
ENSMUSG00000020125	29.3256061866	4.80721493923555E-018	7.65594849444819E-016
ENSMUSG00000058470	4.4313637504	7.56848868181686E-018	1.19244938493479E-015
ENSMUSG00000094651	6.262114856	7.60177195016669E-018	1.19244938493479E-015
ENSMUSG00000025950	2.1947516079	9.10702522181054E-018	1.41790945673607E-015
ENSMUSG00000049382	-5.9507484656	9.40617848368544E-018	1.45363779040837E-015
ENSMUSG00000003352	3.6768102012	1.05692190546831E-017	1.62136483189598E-015
ENSMUSG00000020601	4.0207450488	1.06651744004463E-017	1.62414258041248E-015
ENSMUSG00000030717	2.9063148006	1.11815464685882E-017	1.69043915923301E-015
ENSMUSG00000054435	3.4418583158	1.79713494953075E-017	2.69738319798993E-015
ENSMUSG00000020183	-3.3023713034	1.98084154145922E-017	2.95187836281884E-015
ENSMUSG00000076431	4.2782850365	2.51122822840369E-017	3.71572727157348E-015
ENSMUSG00000030954	-5.8706444327	2.99852452029178E-017	4.40550824414418E-015
ENSMUSG00000032402	4.6125793186	3.1012187065521E-017	4.52452628495081E-015
ENSMUSG00000030559	3.4616161368	3.48409774584443E-017	5.04782856052447E-015
ENSMUSG00000038244	-3.8394637372	3.63968566512099E-017	5.23688014009787E-015
ENSMUSG00000021733	-2.3645748785	3.98228710919275E-017	5.69057917528002E-015
ENSMUSG00000003070	3.4798590277	4.18462591195075E-017	5.93903744224684E-015
